"Symbol;Beschreibung;Gruppe;Basiswährung;Gewinnwährung;Dezimalstellen;Kontraktgröße;Spread;Handel_erlaubt";;;;;;;;
XLP.NYSE;Consumer Staples Select Sector SPDR ETF CFD;Stock CFD's\NYSE\ETF\XLP.NYSE;USD;USD;2;1.0;1;Ja
XLU.NYSE;Utilities Select Sector SPDR ETF CFD;Stock CFD's\NYSE\ETF\XLU.NYSE;USD;USD;2;1.0;1;Ja
XOP.NYSE;SPDR S&P Oil & Gas Explor & Prodtn ETF CFD;Stock CFD's\NYSE\ETF\XOP.NYSE;USD;USD;2;1.0;1;Ja
QQQ.NAS;Invesco QQQ Trust ETF CFD;Stock CFD's\Nasdaq\ETF\QQQ.NAS;USD;USD;2;1.0;2;Ja
TLT.NAS;iShares 20+ Year Treasury Bond ETF CFD;Stock CFD's\Nasdaq\ETF\TLT.NAS;USD;USD;2;1.0;1;Ja
XAUAUD;Gold vs Australian Dollar;Commodities\Metals\XAUAUD;XAU;AUD;2;100.0;26;Ja
DEO.NYSE;Diageo plc CFD;Stock CFD's\NYSE\DEO.NYSE;USD;USD;2;1.0;4;Ja
NEE.NYSE;NextEra Energy, Inc. CFD;Stock CFD's\NYSE\NEE.NYSE;USD;USD;2;1.0;1;Ja
AMT.NYSE;American Tower Corporation (REIT) CFD;Stock CFD's\NYSE\AMT.NYSE;USD;USD;2;1.0;7;Ja
BABA.NYSE;Alibaba Group Holding Limited CFD;Stock CFD's\NYSE\BABA.NYSE;USD;USD;2;1.0;6;Ja
BRK-B.NYSE;Berkshire Hathaway Inc - B Shares CFD;Stock CFD's\NYSE\BRK-B.NYSE;USD;USD;2;1.0;5;Ja
TMO.NYSE;Thermo Fisher Scientific Inc. CFD;Stock CFD's\NYSE\TMO.NYSE;USD;USD;2;1.0;16;Ja
